fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Rainy Martinez,"6' 0""",199 lbs.,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Anthony Rocco Martin,"6' 0""",170 lbs.,"73""",Orthodox,"Dec 11, 1989",2.68,37%,2.59,58%,0.71,27%,68%,1.0
Danny Martinez,"5' 6""",125 lbs.,"67""",Orthodox,"Jun 14, 1985",2.73,28%,3.77,63%,3.00,45%,36%,0.0
Henry Martinez,"5' 7""",155 lbs.,"69""",Southpaw,"Aug 07, 1983",2.79,25%,4.01,60%,0.00,0%,80%,0.0
Alonzo Martinez,"5' 10""",155 lbs.,,,"Apr 22, 1984",3.07,27%,7.33,52%,0.00,0%,0%,0.0
Jonathan Martinez,"5' 8""",135 lbs.,"70""",Southpaw,"Apr 20, 1994",4.27,46%,3.81,58%,0.48,37%,63%,0.0
Andrew Martinez,"5' 9""",215 lbs.,,,,3.40,31%,2.30,47%,1.50,50%,0%,0.0
Victor Martinez,"5' 10""",155 lbs.,,,"Jul 17, 1991",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Roque Martinez,"5' 10""",250 lbs.,"72""",Orthodox,"Mar 04, 1986",2.67,51%,4.68,59%,0.62,50%,16%,0.0
Mana Martinez,"5' 10""",135 lbs.,"70""",Orthodox,"Mar 25, 1996",2.11,62%,1.27,50%,0.00,0%,0%,6.3
Poppies Martinez,"5' 9""",145 lbs.,,,"Aug 19, 1983",2.88,50%,2.16,51%,1.54,33%,50%,9.2
Wagner da Conceicao Martins,"6' 7""",390 lbs.,,Orthodox,"May 19, 1978",1.91,37%,5.43,42%,2.20,100%,100%,0.0
Adriano Martins,"5' 10""",155 lbs.,"72""",Southpaw,"Dec 16, 1982",1.80,38%,2.14,65%,0.83,80%,81%,0.4
Lucas Martins,"6' 0""",145 lbs.,"72""",Southpaw,"Nov 11, 1988",2.87,35%,4.14,60%,0.00,0%,76%,0.5
Jameel Massouh,"5' 10""",145 lbs.,"72""",Orthodox,"Sep 12, 1984",1.91,54%,2.62,55%,0.67,15%,50%,0.7
Mike Massenzio,"6' 2""",185 lbs.,"73""",Southpaw,"Nov 01, 1982",2.08,45%,3.59,54%,2.74,24%,50%,1.4
Shoji Maruyama,"5' 7""",139 lbs.,,Orthodox,"Apr 24, 1983",1.40,63%,0.27,55%,0.00,0%,54%,0.0
Max Martyniouk,,155 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Bristol Marunde,"6' 1""",170 lbs.,"75""",Orthodox,"Apr 20, 1982",1.42,21%,4.40,47%,1.60,33%,14%,0.0
Jorge Masvidal,"5' 11""",170 lbs.,"74""",Orthodox,"Nov 12, 1984",4.20,47%,3.00,65%,1.57,59%,77%,0.4
Tiffany Masters,"5' 3""",115 lbs.,"65""",Orthodox,"Jul 31, 1994",3.53,62%,2.58,50%,3.06,60%,0%,0.0
Tateki Matsuda,"5' 7""",125 lbs.,,Orthodox,"Feb 27, 1986",3.20,34%,3.43,69%,0.00,0%,16%,0.0
Naoki Matsushita,"5' 6""",155 lbs.,,Orthodox,,3.30,32%,2.20,63%,1.50,100%,0%,0.0
AJ Matthews,"5' 11""",185 lbs.,,,,5.11,52%,4.96,51%,0.00,0%,100%,0.0
Koichiro Matsumoto,"5' 7""",145 lbs.,,,"Mar 07, 1986",1.90,26%,3.50,31%,0.00,0%,0%,0.0
Daijiro Matsui,"5' 9""",200 lbs.,,Orthodox,"Dec 05, 1972",0.84,45%,1.69,55%,1.83,30%,43%,0.4
Jake Matthews,"5' 11""",170 lbs.,"73""",Orthodox,"Aug 19, 1994",3.03,44%,2.16,61%,1.93,41%,66%,0.6
Claudio Mattos,,185 lbs.,,Orthodox,,0.00,0%,3.53,0%,0.00,0%,0%,0.0
Francesco Maturi,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
John Matua,"6' 2""",400 lbs.,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Miranda Maverick,"5' 3""",125 lbs.,"65""",Southpaw,"Jul 01, 1997",9.80,51%,6.00,62%,0.00,0%,0%,0.0
Nick Maximov,"6' 0""",220 lbs.,"76""",Southpaw,"Dec 23, 1997",2.47,58%,0.33,58%,2.00,40%,0%,0.0
Vladimir Matyushenko,"6' 0""",205 lbs.,"74""",Orthodox,"Jan 04, 1971",1.90,44%,1.62,59%,3.25,46%,70%,0.1
Elaina Maxwell,"5' 8""",145 lbs.,,Orthodox,"Dec 16, 1978",2.07,60%,2.40,53%,0.00,0%,50%,1.0
Jeremy May,"6' 1""",185 lbs.,,,"Oct 23, 1986",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Al Matavao,"5' 8""",205 lbs.,"67""",Orthodox,"Feb 23, 1994",7.84,46%,6.70,58%,0.00,0%,0%,0.0
Jack May,"6' 8""",255 lbs.,,Switch,"Apr 14, 1981",1.52,38%,3.29,33%,0.91,33%,20%,0.0
Don'Tale Mayes,"6' 6""",260 lbs.,"81""",Orthodox,"Jan 16, 1992",4.13,45%,4.46,43%,0.23,20%,59%,0.0
Brooke Mayo,"5' 7""",125 lbs.,,,,1.92,34%,3.20,63%,3.20,60%,0%,2.1
Gina Mazany,"5' 6""",125 lbs.,"68""",Southpaw,"Aug 19, 1988",3.45,47%,3.07,51%,4.41,63%,33%,0.3
Gray Maynard,"5' 9""",155 lbs.,"70""",Orthodox,"May 09, 1979",1.92,32%,2.64,66%,2.91,47%,81%,0.7
Scott McAfee,"5' 8""",155 lbs.,,Orthodox,"Aug 23, 1983",0.00,0%,1.33,50%,0.00,0%,0%,0.0
Sabina Mazo,"5' 7""",135 lbs.,"70""",Orthodox,"Mar 25, 1997",6.56,44%,3.91,60%,0.81,80%,66%,0.2
Michael McBride,"6' 1""",155 lbs.,,Orthodox,"Mar 09, 1986",4.08,48%,5.85,40%,1.85,42%,30%,1.2
Bobby McAndrews,,,,Orthodox,,2.56,83%,1.03,50%,0.00,0%,33%,7.7
Ian McCall,"5' 5""",125 lbs.,"64""",Orthodox,"May 07, 1984",3.59,39%,3.25,67%,2.08,30%,88%,0.0
Molly McCann,"5' 4""",125 lbs.,"62""",Orthodox,"May 04, 1990",5.15,50%,4.28,65%,1.64,29%,28%,0.7
Charles McCarthy,"5' 10""",185 lbs.,"71""",Orthodox,"Aug 06, 1980",0.18,12%,4.03,56%,2.67,60%,0%,2.7
Sean McCorkle,"6' 7""",265 lbs.,"81""",Orthodox,"Jul 17, 1976",0.85,44%,2.48,52%,2.12,40%,33%,4.2
Kris McCray,"6' 0""",170 lbs.,"76""",Orthodox,"Sep 24, 1981",2.69,45%,2.57,54%,2.88,55%,38%,0.0
Tamdan McCrory,"6' 4""",185 lbs.,"76""",Switch,"Nov 05, 1986",2.07,49%,1.60,46%,2.28,50%,33%,2.5
Justin McCully,"6' 1""",225 lbs.,"73""",Orthodox,"Feb 18, 1976",1.58,37%,2.02,46%,1.28,44%,43%,0.0
Michael McDonald,"5' 9""",135 lbs.,"70""",Orthodox,"Jan 15, 1991",2.69,42%,2.76,57%,1.09,66%,52%,1.4
Rob McCullough,"5' 9""",155 lbs.,"69""",Orthodox,"May 26, 1977",2.47,36%,2.84,59%,0.46,100%,68%,0.0
Robert McDaniel,"6' 3""",185 lbs.,"75""",Southpaw,"May 03, 1983",1.64,44%,1.98,56%,0.93,50%,50%,1.4
Scott McDonald,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Josh McDonald,,185 lbs.,,,,0.80,57%,3.40,33%,9.00,50%,0%,0.0
Miles McDonald,"5' 7""",115 lbs.,,,"Aug 13, 1991",5.10,45%,4.00,43%,0.00,0%,100%,1.0
Justin McElfresh,"6' 6""",205 lbs.,,Orthodox,"Jan 04, 1980",4.59,26%,12.79,41%,0.00,0%,0%,0.0
Drew McFedries,"6' 0""",185 lbs.,"72""",Southpaw,"Jul 27, 1978",5.13,51%,4.56,52%,1.42,100%,56%,0.7
Liam McGeary,"6' 6""",205 lbs.,,,"Oct 04, 1982",1.28,48%,1.92,50%,0.51,100%,0%,2.5
Gan McGee,"6' 10""",265 lbs.,,Orthodox,"Nov 20, 1976",2.20,29%,2.31,59%,0.65,25%,83%,0.0
Court McGee,"5' 11""",170 lbs.,"75""",Orthodox,"Dec 12, 1984",4.90,36%,3.94,61%,1.60,21%,63%,0.4
Ryan McGillivray,"5' 11""",170 lbs.,,,"Sep 27, 1986",1.27,20%,2.20,52%,0.00,0%,44%,0.0
Ryan McGivern,"6' 0""",185 lbs.,,Orthodox,"Jan 17, 1980",2.22,29%,2.22,57%,0.00,0%,0%,0.0
Conor McGregor,"5' 9""",155 lbs.,"74""",Southpaw,"Jul 14, 1988",5.32,49%,4.54,54%,0.70,55%,67%,0.0
Jack McGlaughlin,,,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Greg McIntyre,"5' 10""",155 lbs.,,Orthodox,"Apr 21, 1980",0.79,30%,1.36,41%,5.09,50%,0%,0.0
AJ McKee,"5' 10""",145 lbs.,,,,2.75,32%,0.92,80%,11.01,100%,100%,11.0
Antonio McKee,"5' 8""",155 lbs.,,Southpaw,"Mar 12, 1970",1.37,45%,0.74,74%,1.47,33%,57%,0.0
Rhys McKee,"6' 2""",170 lbs.,"78""",Orthodox,"Sep 10, 1995",6.83,53%,11.90,43%,0.00,0%,20%,0.0
Tim McKenzie,"6' 0""",185 lbs.,"74""",Orthodox,"Jul 21, 1982",1.37,54%,2.96,44%,0.00,0%,28%,2.1
Terrance McKinney,"5' 11""",145 lbs.,"74""",Switch,"Sep 15, 1994",1.17,50%,0.59,66%,4.40,33%,0%,0.0
Cory McKenna,"5' 3""",115 lbs.,"58""",Orthodox,"Nov 07, 1999",3.47,44%,3.03,45%,0.50,50%,71%,0.0
Cody McKenzie,"6' 0""",155 lbs.,"72""",Switch,"Dec 16, 1987",1.74,34%,2.50,67%,2.50,25%,14%,2.5
Jason McLean,"5' 5""",145 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Brian McLaughlin,"5' 9""",155 lbs.,,,"May 12, 1984",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Garreth McLellan,"6' 1""",185 lbs.,"72""",Southpaw,"Sep 01, 1982",3.56,54%,2.94,45%,1.15,22%,34%,0.9
Sara McMann,"5' 6""",135 lbs.,"66""",Orthodox,"Sep 24, 1980",2.32,45%,1.94,48%,4.41,65%,50%,0.5
Charles McTorry,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Daniel McWilliams,"6' 1""",185 lbs.,,,,3.36,77%,0.00,0%,0.00,0%,100%,21.6
James McSweeney,"6' 4""",230 lbs.,"77""",Switch,"Oct 24, 1980",3.94,55%,4.33,42%,0.52,33%,100%,1.1
Tim Means,"6' 2""",170 lbs.,"75""",Orthodox,"Feb 20, 1984",5.16,48%,3.58,61%,0.92,41%,64%,0.2
Kaline Medeiros,"5' 3""",115 lbs.,,,,2.06,70%,0.29,83%,4.41,100%,0%,4.4
Anistavio Medeiros,"5' 6""",145 lbs.,,Orthodox,"May 01, 1988",3.64,44%,5.00,47%,0.00,0%,0%,0.0
Yancy Medeiros,"5' 10""",155 lbs.,"75""",Orthodox,"Sep 07, 1987",4.05,35%,5.38,46%,0.12,25%,76%,0.5
Uros Medic,"6' 1""",155 lbs.,"71""",Southpaw,"Apr 25, 1993",19.91,77%,0.52,86%,0.00,0%,100%,0.0
Jason Medina,"5' 9""",180 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Todd Medina,"5' 10""",193 lbs.,,Southpaw,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Emil Meek,"5' 11""",170 lbs.,"74""",Switch,"Aug 20, 1988",2.52,39%,2.53,38%,0.25,33%,47%,1.0
Sanford Alton Meeks,"6' 5""",265 lbs.,"75""",Orthodox,"Apr 05, 1994",0.71,42%,4.47,38%,7.06,25%,0%,0.0
Frank Megallon,"5' 10""",185 lbs.,,Southpaw,,1.14,21%,5.32,54%,0.00,0%,0%,0.0
Bryce Mejia,"6' 1""",170 lbs.,,,,3.49,62%,6.98,50%,0.00,0%,0%,0.0
Gerald Meerschaert,"6' 1""",185 lbs.,"77""",Southpaw,"Dec 18, 1987",3.30,42%,3.61,51%,2.33,43%,46%,1.7
Derrick Mehmen,"6' 4""",205 lbs.,,,"May 30, 1985",1.93,14%,4.53,48%,1.00,16%,0%,0.0
Jordan Mein,"6' 0""",170 lbs.,"73""",Orthodox,"Oct 10, 1989",3.35,44%,2.55,69%,1.56,58%,66%,0.2
Miika Mehmet,,205 lbs.,,Orthodox,,0.33,12%,7.29,24%,0.00,0%,0%,0.0
Brian Melancon,"5' 8""",170 lbs.,,Orthodox,"May 28, 1982",4.18,49%,3.64,64%,2.02,100%,66%,0.0
Brandon Melendez,"5' 11""",155 lbs.,,Southpaw,"Mar 24, 1983",0.84,26%,0.56,63%,0.00,0%,25%,0.0
Fabio Mello,"5' 5""",155 lbs.,,Southpaw,,0.86,35%,3.94,50%,0.00,0%,0%,0.0
Gilbert Melendez,"5' 9""",145 lbs.,"73""",Orthodox,"Apr 12, 1982",3.44,33%,2.53,63%,1.64,41%,71%,0.2
Vanessa Melo,"5' 5""",135 lbs.,"65""",Orthodox,"Mar 27, 1988",3.48,30%,6.13,59%,0.00,0%,71%,0.0
Marcelo Mello,"5' 7""",170 lbs.,,Southpaw,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Antonio Mendes,"6' 3""",205 lbs.,"77""",Southpaw,"Apr 19, 1981",1.34,47%,6.85,22%,2.51,50%,100%,0.0
Augusto Mendes,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 03, 1983",2.42,34%,3.91,56%,1.75,33%,80%,0.0
Chad Mendes,"5' 6""",145 lbs.,"66""",Orthodox,"May 01, 1985",2.78,49%,2.35,67%,4.13,55%,100%,0.3
Eddie Mendez,"5' 10""",185 lbs.,,,"Jan 16, 1984",1.71,33%,3.43,11%,0.00,0%,0%,0.0
Luis Mendoza,,155 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Pietro Menga,"5' 7""",125 lbs.,"68""",Southpaw,"Feb 15, 1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alonzo Menifield,"6' 0""",205 lbs.,"76""",Orthodox,"Oct 18, 1987",3.34,47%,3.72,45%,0.00,0%,85%,0.0
Ivan Menjivar,"5' 6""",145 lbs.,"64""",Orthodox,"May 30, 1982",2.78,37%,2.76,65%,0.56,28%,38%,1.0
Steve Mensing,"5' 11""",185 lbs.,,Orthodox,"Dec 06, 1977",0.00,0%,9.51,42%,0.00,0%,0%,0.0
Dave Menne,"5' 10""",170 lbs.,,Orthodox,"Jul 29, 1974",1.84,44%,1.99,42%,0.46,50%,57%,2.5
Adam Meredith,"6' 2""",170 lbs.,,,,2.63,50%,2.11,55%,7.89,100%,100%,7.9
Buck Meredith,"6' 2""",185 lbs.,,,"May 17, 1982",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Joe Merritt,"6' 0""",170 lbs.,,Orthodox,"Mar 07, 1984",1.53,58%,0.73,66%,0.00,0%,68%,0.0
Jonathan Meunier,"6' 3""",170 lbs.,,Switch,"Aug 04, 1987",3.47,50%,1.43,69%,0.58,33%,58%,0.0
Jeremiah Metcalf,"6' 1""",185 lbs.,,Orthodox,,1.74,59%,0.27,60%,4.02,66%,100%,2.0
Brandon Michaels,"5' 9""",185 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Yaotzin Meza,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 04, 1981",1.43,41%,1.62,64%,1.06,20%,18%,1.4
Guy Mezger,"6' 1""",200 lbs.,,Orthodox,"Jan 01, 1968",2.30,32%,1.36,72%,0.39,50%,88%,0.0
David Michaud,"5' 9""",155 lbs.,,Orthodox,"Nov 10, 1988",3.25,43%,4.45,54%,2.53,58%,77%,0.7
Andreas Michailidis,"6' 0""",185 lbs.,"76""",Orthodox,"Jul 18, 1988",4.60,50%,3.60,63%,0.00,0%,0%,0.0
Kristof Midoux,"6' 1""",220 lbs.,,Orthodox,"Jul 30, 1974",0.70,43%,2.89,49%,0.00,0%,0%,0.0
Keith Mielke,"5' 8""",185 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Zachary Micklewright,"6' 0""",155 lbs.,"74""",Southpaw,"Aug 21, 1976",5.56,53%,4.72,54%,0.70,12%,100%,0.0
Chris Mierzwiak,"6' 1""",185 lbs.,,,"Feb 14, 1988",1.60,61%,1.73,48%,2.00,28%,0%,1.0
Bojan Mihajlovic,"5' 11""",205 lbs.,"73""",Orthodox,"Mar 30, 1980",1.23,35%,5.95,47%,0.00,0%,33%,0.0
Gabriel Miglioli,"5' 8""",170 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Billy Miles,"5' 10""",170 lbs.,,Orthodox,"Apr 28, 1978",0.00,0%,1.25,33%,0.00,0%,0%,0.0
Phillip Miller,"5' 11""",185 lbs.,,Orthodox,"Feb 20, 1979",1.61,54%,1.93,50%,3.62,25%,100%,0.6
Jason Miller,"6' 1""",185 lbs.,,Orthodox,"Dec 24, 1980",1.83,43%,2.30,49%,1.31,28%,43%,1.3
Dan Miller,"6' 1""",185 lbs.,"74""",Orthodox,"Jun 30, 1981",2.03,36%,3.06,49%,1.67,54%,47%,1.8
Curtis Millender,"6' 2""",170 lbs.,"76""",Orthodox,"Dec 01, 1987",3.86,46%,2.95,61%,0.43,100%,57%,0.0
Pat Miletich,"5' 10""",170 lbs.,,Orthodox,"Mar 09, 1968",1.79,45%,1.66,63%,1.96,100%,54%,1.0
Cole Miller,"6' 1""",145 lbs.,"73""",Orthodox,"Apr 26, 1984",3.00,33%,3.88,59%,0.60,36%,38%,1.8
Chris Mickle,"5' 9""",145 lbs.,,Orthodox,"Jul 10, 1983",3.03,27%,9.70,48%,0.00,0%,0%,0.0
Jim Miller,"5' 8""",155 lbs.,"71""",Southpaw,"Aug 30, 1983",2.73,40%,2.99,59%,1.69,43%,46%,1.9
Micah Miller,"6' 0""",145 lbs.,,Orthodox,"Feb 14, 1987",1.33,33%,2.15,54%,0.98,37%,21%,2.0
Aaron Miller,"5' 9""",145 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Henry Miller,"5' 7""",270 lbs.,,Southpaw,"Jul 16, 1969",1.25,36%,2.16,54%,0.55,25%,60%,0.0
Che Mills,"6' 1""",170 lbs.,"76""",Orthodox,"Sep 29, 1982",2.08,52%,2.87,43%,1.18,66%,58%,0.0
Eddy Millis,"6' 1""",185 lbs.,,,,0.00,0%,3.36,22%,0.00,0%,0%,7.2
Adam Milstead,"6' 3""",205 lbs.,"76""",Orthodox,"Jul 03, 1987",3.85,46%,4.79,43%,0.00,0%,64%,0.0
Alberto Mina,"6' 0""",170 lbs.,"77""",Orthodox,"May 02, 1982",3.23,38%,3.70,47%,1.85,20%,50%,0.0
Stipe Miocic,"6' 4""",240 lbs.,"80""",Orthodox,"Aug 19, 1982",4.90,52%,3.75,55%,1.92,34%,70%,0.0
Vitaly Minakov,"6' 2""",249 lbs.,,,"Feb 06, 1985",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Darrick Minner,"5' 7""",145 lbs.,"69""",Orthodox,"Apr 28, 1990",3.24,70%,1.40,43%,3.00,62%,60%,3.6
Mike Minniger,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Carlton Minus,"5' 10""",170 lbs.,"75""",Orthodox,"Apr 26, 1993",3.50,40%,4.97,50%,0.00,0%,58%,0.0
Ikuhisa Minowa,"5' 9""",181 lbs.,,Orthodox,"Jan 12, 1976",0.88,40%,1.66,49%,1.82,41%,5%,1.9
Juan Miranda,,155 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Mario Miranda,"6' 3""",185 lbs.,"74""",Orthodox,"Jul 12, 1979",1.96,54%,2.46,36%,1.02,60%,54%,0.0
Frank Mir,"6' 3""",264 lbs.,"79""",Southpaw,"May 24, 1979",2.18,47%,3.84,38%,2.02,40%,54%,2.0
Damir Mirenic,"6' 0""",185 lbs.,,Orthodox,"Aug 02, 1974",0.84,50%,9.86,35%,0.00,0%,0%,0.0
Vitor Miranda,"6' 1""",185 lbs.,"77""",Orthodox,"Mar 10, 1979",2.98,45%,2.95,58%,0.95,55%,50%,0.2
Toby Misech,"5' 8""",145 lbs.,,Southpaw,"Mar 07, 1988",3.27,40%,7.73,46%,0.00,0%,0%,0.0
Kazuo Misaki,"5' 8""",183 lbs.,,Orthodox,"Apr 25, 1976",2.85,40%,2.74,63%,0.72,38%,51%,0.6
Dokonjonosuke Mishima,"5' 7""",155 lbs.,,Southpaw,"Apr 19, 1972",1.06,41%,1.22,52%,2.47,40%,25%,1.4
Felix Lee Mitchell,,,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Danny Mitchell,"6' 2""",170 lbs.,,Orthodox,"Aug 08, 1986",2.53,49%,2.53,52%,0.00,0%,100%,3.0
Brad Mitchell,"5' 11""",145 lbs.,,,"Oct 10, 1974",1.15,33%,4.20,52%,0.00,0%,100%,1.9
David Mitchell,"6' 0""",170 lbs.,"75""",Orthodox,"Oct 24, 1979",1.74,32%,2.06,55%,0.66,50%,29%,2.0
Maurice Mitchell,"5' 9""",145 lbs.,,Orthodox,"Jun 29, 1987",3.80,55%,3.54,60%,0.00,0%,100%,0.0
Clay Mitchell,"6' 2""",185 lbs.,,,,1.63,85%,0.00,0%,0.00,0%,100%,4.1
Bryce Mitchell,"5' 10""",145 lbs.,"70""",Southpaw,"Oct 04, 1994",2.29,61%,1.46,60%,3.26,46%,33%,2.3
Roman Mitichyan,"5' 10""",170 lbs.,,Orthodox,"Sep 04, 1978",0.26,16%,2.70,43%,1.93,100%,25%,1.9
Eiji Mitsuoka,"5' 7""",145 lbs.,,Southpaw,"Jan 01, 1976",1.49,49%,2.26,45%,2.30,36%,20%,1.6
Jonathan  Mix,"6' 0""",168 lbs.,,,"Nov 09, 1980",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Matt Mitrione,"6' 3""",265 lbs.,"82""",Switch,"Jul 15, 1978",3.55,50%,2.79,64%,0.00,0%,55%,0.7
Motoki Miyazawa,"5' 11""",168 lbs.,,Southpaw,,1.23,28%,3.91,61%,0.00,0%,0%,0.0
Hiromitsu Miura,"5' 9""",170 lbs.,"71""",Orthodox,"Sep 22, 1981",2.12,34%,2.12,58%,2.23,50%,69%,0.6
Tomoya Miyashita,"5' 7""",139 lbs.,,Southpaw,,1.67,65%,0.93,33%,4.00,80%,0%,2.0
Kazuyuki Miyata,"5' 8""",139 lbs.,,Orthodox,,2.04,52%,1.82,63%,4.31,46%,68%,0.0
Takeya Mizugaki,"5' 7""",135 lbs.,"69""",Orthodox,"Dec 16, 1983",3.37,37%,3.27,57%,1.46,57%,70%,0.1
Tatsuya Mizuno,"6' 1""",205 lbs.,,Southpaw,"Jun 02, 1981",2.25,37%,3.52,53%,1.19,25%,40%,3.6
Bobby Moffett,"5' 10""",145 lbs.,"73""",Orthodox,"Jun 01, 1990",3.41,39%,3.15,61%,2.74,66%,66%,1.4
Roxanne Modafferi,"5' 7""",125 lbs.,"69""",Orthodox,"Sep 24, 1982",3.13,30%,5.03,53%,1.42,23%,30%,0.1
Bronson Mohika,,135 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Thiago Moises,"5' 9""",155 lbs.,"70""",Orthodox,"Mar 23, 1995",2.85,37%,3.88,60%,1.06,33%,63%,1.2
Nate Mohr,"5' 9""",155 lbs.,"72""",Orthodox,"Mar 03, 1983",3.79,41%,2.50,74%,0.45,50%,71%,0.0
Renato Moicano,"5' 11""",155 lbs.,"72""",Orthodox,"May 21, 1989",5.40,46%,3.74,65%,1.28,53%,78%,0.6
Ashkan Mokhtarian,"5' 6""",125 lbs.,"67""",Southpaw,"Sep 15, 1985",1.95,43%,3.66,43%,0.54,16%,33%,0.0
Suman Mokhtarian,"5' 8""",145 lbs.,"72""",Orthodox,"Jun 13, 1992",2.21,43%,6.85,48%,0.00,0%,0%,0.0
Rudyard Moncayo,"5' 10""",195 lbs.,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Dan Molina,"5' 10""",216 lbs.,,,"Jun 14, 1984",0.00,0%,5.58,60%,0.00,0%,0%,20.9
Jeff Molina,"5' 6""",125 lbs.,"69""",Orthodox,"Jul 17, 1997",5.07,38%,5.53,55%,0.00,0%,0%,0.0
Jeff Monson,"5' 9""",247 lbs.,"74""",Orthodox,"Jan 18, 1971",0.97,30%,2.87,59%,1.06,12%,66%,0.7
Hidetaka Monma,"6' 0""",168 lbs.,,Orthodox,"Oct 23, 1973",1.67,25%,9.76,34%,0.00,0%,0%,0.0
Darrell Montague,"5' 6""",125 lbs.,"67""",Southpaw,"Nov 03, 1987",1.92,25%,5.38,52%,0.72,25%,33%,1.4
Andrew Montanez,,185 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Nicco Montano,"5' 5""",135 lbs.,"65""",Southpaw,"Dec 16, 1988",5.60,41%,4.43,64%,2.25,54%,69%,0.4
Erick Montano,"6' 0""",170 lbs.,"73""",Orthodox,"Nov 19, 1985",2.79,44%,2.06,64%,2.29,36%,66%,0.0
Alberto Montes,"5' 7""",135 lbs.,,,"May 31, 1994",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Augusto Montano,"6' 1""",170 lbs.,"73""",Orthodox,"Oct 25, 1984",3.46,46%,2.66,56%,0.00,0%,66%,0.0
James Moontasri,"5' 10""",170 lbs.,"71""",Switch,"Apr 10, 1988",2.39,48%,3.86,40%,0.00,0%,79%,0.2
Homer Moore,"5' 10""",205 lbs.,,Orthodox,"Nov 27, 1971",0.68,50%,0.68,0%,5.07,66%,0%,0.0
Steve Montgomery,"6' 4""",185 lbs.,,Southpaw,"Dec 19, 1990",4.85,39%,4.12,47%,0.00,0%,64%,0.0
Todd Moore,"5' 9""",170 lbs.,"71""",Southpaw,"Dec 30, 1983",1.83,26%,2.30,57%,0.78,14%,54%,0.0
Nate Moore,"6' 0""",170 lbs.,,,,2.21,25%,2.87,42%,1.23,16%,25%,0.0
Dustin Moore,"5' 4""",125 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Taylor Moore,"5' 10""",135 lbs.,"70""",Southpaw,"Oct 16, 1993",0.20,75%,2.07,42%,0.00,0%,25%,0.0
Sergio Moraes,"6' 0""",170 lbs.,"72""",Orthodox,"Jul 23, 1982",2.42,42%,3.73,59%,1.20,38%,75%,0.4
Ricardo Morais,"6' 8""",270 lbs.,,Orthodox,"Feb 26, 1967",2.86,37%,2.39,53%,0.00,0%,0%,0.0
Marlon Moraes,"5' 6""",135 lbs.,"67""",Orthodox,"Apr 26, 1988",3.38,39%,4.11,56%,1.00,41%,66%,0.4
Sheymon Moraes,"5' 8""",145 lbs.,"72""",Orthodox,"Oct 11, 1990",3.00,42%,3.64,63%,0.00,0%,53%,0.0
John Moraga,"5' 6""",125 lbs.,"66""",Orthodox,"Mar 20, 1984",2.57,43%,2.55,56%,0.62,23%,44%,1.1
Leonardo Morales,"5' 8""",135 lbs.,,Southpaw,"Dec 22, 1992",2.05,47%,2.05,58%,0.00,0%,62%,0.0
Vince Morales,"5' 7""",145 lbs.,"70""",Orthodox,"Nov 12, 1990",4.22,39%,4.16,53%,0.00,0%,55%,0.0
Joseph Morales,"5' 6""",125 lbs.,"69""",Switch,"Aug 22, 1994",1.58,37%,1.72,60%,0.53,50%,23%,2.6
