R_fighter;B_fighter;R_KD;B_KD;R_SIG_STR.;B_SIG_STR.;R_SIG_STR_pct;B_SIG_STR_pct;R_TOTAL_STR.;B_TOTAL_STR.;R_TD;B_TD;R_TD_pct;B_TD_pct;R_SUB_ATT;B_SUB_ATT;R_REV;B_REV;R_CTRL;B_CTRL;R_HEAD;B_HEAD;R_BODY;B_BODY;R_LEG;B_LEG;R_DISTANCE;B_DISTANCE;R_CLINCH;B_CLINCH;R_GROUND;B_GROUND;win_by;last_round;last_round_time;Format;Referee;date;location;Fight_type;Winner
Uriah Hall;Rafael Natal;0;0;43 of 74;45 of 103;58%;43%;47 of 78;63 of 125;1 of 3;1 of 11;33%;9%;0;0;0;0;0:52;2:55;15 of 40;15 of 62;15 of 21;6 of 14;13 of 13;24 of 27;41 of 70;31 of 85;2 of 4;14 of 17;0 of 0;0 of 1;Decision - Split;3;5:00;3 Rnd (5-5-5);Mark Smith;May 23, 2015;Las Vegas, Nevada, USA;Middleweight Bout;Rafael Natal
John Dodson;Zach Makovsky;0;0;31 of 98;37 of 85;31%;43%;32 of 99;39 of 87;2 of 3;0 of 17;66%;0%;0;0;0;0;0:38;0:09;13 of 76;14 of 56;11 of 14;9 of 12;7 of 8;14 of 17;19 of 77;31 of 77;12 of 20;6 of 8;0 of 1;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;May 23, 2015;Las Vegas, Nevada, USA;Flyweight Bout;John Dodson
Anthony Johnson;Daniel Cormier;1;0;23 of 50;23 of 41;46%;56%;28 of 56;70 of 92;1 of 2;3 of 8;50%;37%;0;3;0;0;0:43;9:17;18 of 45;20 of 37;3 of 3;2 of 2;2 of 2;1 of 2;15 of 38;5 of 17;7 of 11;3 of 4;1 of 1;15 of 20;Submission;3;2:39;5 Rnd (5-5-5-5-5);John McCarthy;May 23, 2015;Las Vegas, Nevada, USA;UFC Light Heavyweight Title Bout;Daniel Cormier
Travis Browne;Andrei Arlovski;1;1;15 of 38;51 of 85;39%;60%;15 of 38;51 of 85;0 of 0;0 of 0;---;---;0;0;0;0;0:06;0:05;9 of 31;42 of 73;4 of 5;7 of 10;2 of 2;2 of 2;13 of 35;20 of 43;1 of 1;28 of 39;1 of 2;3 of 3;KO/TKO;1;4:41;3 Rnd (5-5-5);Mark Smith;May 23, 2015;Las Vegas, Nevada, USA;Heavyweight Bout;Andrei Arlovski
Dong Hyun Kim;Joshua Burkman;0;0;30 of 44;20 of 44;68%;45%;135 of 165;21 of 46;1 of 8;0 of 2;12%;0%;1;0;0;0;7:44;1:18;26 of 37;9 of 29;3 of 6;4 of 7;1 of 1;7 of 8;4 of 13;11 of 26;7 of 11;9 of 18;19 of 20;0 of 0;Submission;3;2:13;3 Rnd (5-5-5);Jason Herzog;May 23, 2015;Las Vegas, Nevada, USA;Welterweight Bout;Dong Hyun Kim
Joseph Benavidez;John Moraga;0;0;63 of 109;42 of 75;57%;56%;116 of 168;55 of 92;4 of 6;0 of 3;66%;0%;0;0;0;0;9:10;0:41;35 of 73;14 of 42;12 of 18;21 of 26;16 of 18;7 of 7;26 of 61;21 of 51;15 of 20;17 of 19;22 of 28;4 of 5;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John McCarthy;May 23, 2015;Las Vegas, Nevada, USA;Flyweight Bout;Joseph Benavidez
Donald Cerrone;John Makdessi;0;0;71 of 171;72 of 129;41%;55%;71 of 171;72 of 129;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:00;43 of 140;25 of 65;5 of 8;34 of 51;23 of 23;13 of 13;69 of 168;70 of 126;2 of 3;2 of 3;0 of 0;0 of 0;KO/TKO;2;4:44;3 Rnd (5-5-5);Jason Herzog;May 23, 2015;Las Vegas, Nevada, USA;Lightweight Bout;Donald Cerrone
Islam Makhachev;Leo Kuntz;0;0;32 of 50;7 of 25;64%;28%;53 of 80;11 of 30;3 of 5;0 of 0;60%;---;1;0;0;0;3:00;0:00;27 of 44;2 of 14;3 of 4;1 of 4;2 of 2;4 of 7;17 of 29;7 of 24;9 of 14;0 of 1;6 of 7;0 of 0;Submission;2;2:38;3 Rnd (5-5-5);;May 23, 2015;Las Vegas, Nevada, USA;Lightweight Bout;Islam Makhachev
Mike Pyle;Colby Covington;0;0;16 of 26;26 of 51;61%;50%;33 of 46;95 of 129;0 of 0;2 of 10;---;20%;2;0;1;0;0:42;11:23;10 of 16;23 of 48;5 of 9;1 of 1;1 of 1;2 of 2;7 of 16;6 of 23;2 of 3;4 of 6;7 of 7;16 of 22;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;May 23, 2015;Las Vegas, Nevada, USA;Welterweight Bout;Colby Covington
Justin Scoggins;Josh Sampo;0;0;64 of 128;35 of 91;50%;38%;64 of 128;72 of 129;1 of 2;1 of 7;50%;14%;0;0;0;0;0:31;1:27;31 of 87;17 of 58;26 of 32;10 of 23;7 of 9;8 of 10;62 of 125;28 of 80;2 of 3;6 of 10;0 of 0;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;May 23, 2015;Las Vegas, Nevada, USA;Flyweight Bout;Justin Scoggins
Hyun Gyu Lim;Neil Magny;0;0;15 of 36;43 of 75;41%;57%;15 of 36;64 of 102;0 of 0;2 of 4;---;50%;0;0;0;1;0:32;3:06;12 of 32;34 of 64;2 of 3;2 of 4;1 of 1;7 of 7;7 of 22;8 of 22;8 of 14;9 of 11;0 of 0;26 of 42;KO/TKO;2;1:24;3 Rnd (5-5-5);Steve Perceval;May 16, 2015;Manila, Philippines;Welterweight Bout;Neil Magny
Gegard Mousasi;Constantinos Philippou;0;0;56 of 85;9 of 46;65%;19%;137 of 182;12 of 49;4 of 4;0 of 1;100%;0%;0;0;0;0;10:52;0:00;38 of 66;3 of 28;9 of 10;2 of 10;9 of 9;4 of 8;22 of 47;9 of 46;0 of 0;0 of 0;34 of 38;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Greg Kleynjans;May 16, 2015;Manila, Philippines;Middleweight Bout;Gegard Mousasi
Mark Eddiva;Levan Makashvili;0;0;32 of 77;27 of 57;41%;47%;36 of 82;63 of 98;0 of 4;7 of 13;0%;53%;0;0;0;0;0:27;5:48;5 of 41;11 of 35;11 of 13;8 of 13;16 of 23;8 of 9;19 of 62;9 of 32;13 of 15;13 of 19;0 of 0;5 of 6;Decision - Split;3;5:00;3 Rnd (5-5-5);Terry Hill;May 16, 2015;Manila, Philippines;Featherweight Bout;Levan Makashvili
Tae Hyun Bang;Jon Tuck;0;1;12 of 34;13 of 31;35%;41%;12 of 34;13 of 31;1 of 1;0 of 0;100%;---;0;1;0;0;0:00;1:02;6 of 24;7 of 23;3 of 5;4 of 4;3 of 5;2 of 4;12 of 33;9 of 23;0 of 1;2 of 4;0 of 0;2 of 4;Submission;1;3:56;3 Rnd (5-5-5);;May 16, 2015;Manila, Philippines;Lightweight Bout;Jon Tuck
Zhang Lipeng;Kajan Johnson;0;0;20 of 47;20 of 51;42%;39%;51 of 81;23 of 54;1 of 2;3 of 11;50%;27%;0;1;0;0;2:31;6:25;6 of 31;10 of 36;4 of 4;2 of 6;10 of 12;8 of 9;13 of 32;8 of 34;6 of 8;9 of 11;1 of 7;3 of 6;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Greg Kleynjans;May 16, 2015;Manila, Philippines;Lightweight Bout;Kajan Johnson
Mark Munoz;Luke Barnatt;0;0;35 of 71;42 of 96;49%;43%;43 of 79;98 of 154;9 of 16;1 of 2;56%;50%;0;0;0;0;7:55;0:05;30 of 61;27 of 74;4 of 9;14 of 21;1 of 1;1 of 1;18 of 41;20 of 65;5 of 9;20 of 28;12 of 21;2 of 3;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Terry Hill;May 16, 2015;Manila, Philippines;Middleweight Bout;Mark Munoz
Phillipe Nover;Yui Chul Nam;0;0;12 of 24;29 of 60;50%;48%;54 of 74;56 of 92;6 of 12;2 of 3;50%;66%;0;1;0;0;6:20;6:34;7 of 18;15 of 42;4 of 5;3 of 5;1 of 1;11 of 13;3 of 10;1 of 8;7 of 9;16 of 19;2 of 5;12 of 33;Decision - Split;3;5:00;3 Rnd (5-5-5);Greg Kleynjans;May 16, 2015;Manila, Philippines;Featherweight Bout;Phillipe Nover
Frankie Edgar;Urijah Faber;0;0;83 of 258;48 of 147;32%;32%;91 of 266;50 of 149;5 of 13;0 of 3;38%;0%;0;0;0;0;3:43;0:00;40 of 197;34 of 125;15 of 29;11 of 19;28 of 32;3 of 3;61 of 227;45 of 143;20 of 29;3 of 4;2 of 2;0 of 0;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Steve Perceval;May 16, 2015;Manila, Philippines;Featherweight Bout;Frankie Edgar
Roldan Sangcha'an;Jon Delos Reyes;0;1;27 of 54;23 of 54;50%;42%;32 of 61;36 of 67;2 of 3;1 of 1;66%;100%;0;3;0;1;2:15;4:20;15 of 40;18 of 46;8 of 10;4 of 7;4 of 4;1 of 1;12 of 31;7 of 26;11 of 16;5 of 8;4 of 7;11 of 20;Submission;2;3:13;3 Rnd (5-5-5);Greg Kleynjans;May 16, 2015;Manila, Philippines;Flyweight Bout;Jon Delos Reyes
Li Jingliang;Dhiego Lima;1;0;13 of 39;6 of 16;33%;37%;13 of 39;6 of 16;0 of 0;0 of 0;---;---;0;0;0;0;0:12;0:00;13 of 38;5 of 14;0 of 0;1 of 2;0 of 1;0 of 0;4 of 24;6 of 16;0 of 0;0 of 0;9 of 15;0 of 0;KO/TKO;1;1:25;3 Rnd (5-5-5);Terry Hill;May 16, 2015;Manila, Philippines;Welterweight Bout;Li Jingliang
Nolan Ticman;Yao Zhikui;0;0;52 of 109;9 of 108;47%;8%;52 of 109;12 of 112;0 of 5;1 of 6;0%;16%;0;0;1;0;1:38;0:39;24 of 73;7 of 104;6 of 12;1 of 3;22 of 24;1 of 1;20 of 73;6 of 100;25 of 28;3 of 8;7 of 8;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Terry Hill;May 16, 2015;Manila, Philippines;Flyweight Bout;Yao Zhikui
Guangyou Ning;Royston Wee;0;0;46 of 92;18 of 32;50%;56%;77 of 130;29 of 43;2 of 2;0 of 0;100%;---;0;0;0;0;3:11;0:00;30 of 68;3 of 15;8 of 13;6 of 6;8 of 11;9 of 11;39 of 82;18 of 32;0 of 1;0 of 0;7 of 9;0 of 0;KO/TKO;2;4:59;3 Rnd (5-5-5);Steve Perceval;May 16, 2015;Manila, Philippines;Bantamweight Bout;Guangyou Ning
Daniel Kelly;Sam Alvey;0;1;2 of 8;8 of 13;25%;61%;2 of 8;8 of 13;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:04;1 of 7;8 of 13;0 of 0;0 of 0;1 of 1;0 of 0;2 of 8;6 of 11;0 of 0;0 of 0;0 of 0;2 of 2;KO/TKO;1;0:49;3 Rnd (5-5-5);Steve Perceval;May 09, 2015;Adelaide, South Australia, Australia;Middleweight Bout;Sam Alvey
Stipe Miocic;Mark Hunt;0;0;113 of 180;33 of 96;62%;34%;361 of 464;46 of 109;6 of 8;0 of 0;75%;---;0;0;0;0;16:29;0:00;105 of 172;29 of 89;7 of 7;0 of 2;1 of 1;4 of 5;48 of 95;30 of 90;8 of 18;3 of 6;57 of 67;0 of 0;KO/TKO;5;2:47;5 Rnd (5-5-5-5-5);John Sharp;May 09, 2015;Adelaide, South Australia, Australia;Heavyweight Bout;Stipe Miocic
Jake Matthews;James Vick;0;0;4 of 28;10 of 26;14%;38%;4 of 28;19 of 35;1 of 2;0 of 1;50%;0%;0;1;0;0;1:30;0:07;4 of 25;5 of 17;0 of 3;2 of 4;0 of 0;3 of 5;4 of 28;8 of 24;0 of 0;2 of 2;0 of 0;0 of 0;Submission;1;4:53;3 Rnd (5-5-5);Steve Perceval;May 09, 2015;Adelaide, South Australia, Australia;Lightweight Bout;James Vick
Anthony Perosh;Sean O'Connell;0;0;3 of 5;20 of 38;60%;52%;3 of 5;20 of 38;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:00;3 of 5;18 of 33;0 of 0;1 of 4;0 of 0;1 of 1;3 of 5;9 of 21;0 of 0;11 of 17;0 of 0;0 of 0;KO/TKO;1;0:56;3 Rnd (5-5-5);Greg Kleynjans;May 09, 2015;Adelaide, South Australia, Australia;Light Heavyweight Bout;Sean O'Connell
Brad Tavares;Robert Whittaker;0;1;2 of 7;10 of 14;28%;71%;2 of 7;10 of 14;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:04;0 of 5;9 of 12;0 of 0;0 of 1;2 of 2;1 of 1;2 of 7;7 of 11;0 of 0;0 of 0;0 of 0;3 of 3;KO/TKO;1;0:44;3 Rnd (5-5-5);Steve Perceval;May 09, 2015;Adelaide, South Australia, Australia;Middleweight Bout;Robert Whittaker
Hatsu Hioki;Dan Hooker;0;1;32 of 92;21 of 61;34%;34%;38 of 98;34 of 74;2 of 5;0 of 0;40%;---;0;0;0;1;2:00;0:09;23 of 70;18 of 49;8 of 21;1 of 4;1 of 1;2 of 8;32 of 92;17 of 55;0 of 0;2 of 3;0 of 0;2 of 3;KO/TKO;2;4:13;3 Rnd (5-5-5);John Sharp;May 09, 2015;Adelaide, South Australia, Australia;Featherweight Bout;Dan Hooker
Bec Rawlings;Lisa Ellis;0;0;21 of 40;7 of 17;52%;41%;33 of 55;8 of 18;0 of 0;1 of 3;---;33%;1;0;0;0;2:14;1:18;17 of 35;6 of 14;4 of 5;1 of 3;0 of 0;0 of 0;4 of 14;2 of 9;10 of 15;3 of 6;7 of 11;2 of 2;Submission;1;4:09;3 Rnd (5-5-5);John Sharp;May 09, 2015;Adelaide, South Australia, Australia;Women's Strawweight Bout;Bec Rawlings
Kyle Noke;Jonavin Webb;0;1;31 of 82;23 of 67;37%;34%;44 of 98;33 of 80;0 of 0;2 of 8;---;25%;0;2;1;0;2:05;3:00;13 of 53;19 of 56;2 of 2;2 of 6;16 of 27;2 of 5;22 of 62;18 of 56;0 of 0;3 of 7;9 of 20;2 of 4;Decision - Split;3;5:00;3 Rnd (5-5-5);Greg Kleynjans;May 09, 2015;Adelaide, South Australia, Australia;Welterweight Bout;Kyle Noke
Dylan Andrews;Brad Scott;2;0;25 of 56;42 of 75;44%;56%;32 of 63;64 of 100;1 of 2;1 of 4;50%;25%;1;1;0;1;0:43;5:05;10 of 36;35 of 66;11 of 14;7 of 9;4 of 6;0 of 0;11 of 37;17 of 40;12 of 17;17 of 26;2 of 2;8 of 9;Submission;2;4:54;3 Rnd (5-5-5);Greg Kleynjans;May 09, 2015;Adelaide, South Australia, Australia;Middleweight Bout;Brad Scott
Alex Chambers;Kailin Curran;0;0;44 of 109;81 of 190;40%;42%;53 of 121;123 of 239;2 of 5;2 of 4;40%;50%;2;0;0;0;0:58;4:40;18 of 63;50 of 146;14 of 21;13 of 22;12 of 25;18 of 22;34 of 88;54 of 140;10 of 21;18 of 37;0 of 0;9 of 13;Submission;3;3:15;3 Rnd (5-5-5);Steve Perceval;May 09, 2015;Adelaide, South Australia, Australia;Women's Strawweight Bout;Alex Chambers
Alptekin Ozkilic;Ben Nguyen;0;2;15 of 49;27 of 60;30%;45%;28 of 62;27 of 60;1 of 3;0 of 1;33%;0%;0;0;0;0;1:38;0:23;13 of 45;18 of 49;2 of 4;2 of 2;0 of 0;7 of 9;7 of 32;18 of 48;3 of 6;1 of 3;5 of 11;8 of 9;KO/TKO;1;4:59;3 Rnd (5-5-5);Greg Kleynjans;May 09, 2015;Adelaide, South Australia, Australia;Flyweight Bout;Ben Nguyen
Vik Grujic;Brendan O'Reilly;0;0;59 of 106;42 of 85;55%;49%;103 of 156;83 of 127;1 of 3;6 of 10;33%;60%;1;1;0;0;5:01;7:38;42 of 89;23 of 59;15 of 15;15 of 22;2 of 2;4 of 4;18 of 40;11 of 30;41 of 66;27 of 51;0 of 0;4 of 4;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John Sharp;May 09, 2015;Adelaide, South Australia, Australia;Welterweight Bout;Brendan O'Reilly
Demetrious Johnson;Kyoji Horiguchi;0;0;66 of 121;31 of 91;54%;34%;149 of 208;61 of 127;14 of 22;1 of 5;63%;20%;1;0;0;0;13:43;1:02;21 of 56;18 of 70;31 of 40;8 of 13;14 of 25;5 of 8;39 of 86;21 of 75;16 of 23;10 of 16;11 of 12;0 of 0;Submission;5;4:59;5 Rnd (5-5-5-5-5);Yves Lavigne;April 25, 2015;Montreal, Quebec, Canada;UFC Flyweight Title Bout;Demetrious Johnson
Patrick Cote;Joe Riggs;0;0;21 of 48;21 of 35;43%;60%;110 of 151;47 of 61;3 of 6;2 of 2;50%;100%;1;0;1;0;6:22;4:20;11 of 26;15 of 28;6 of 14;3 of 3;4 of 8;3 of 4;8 of 30;9 of 19;6 of 8;9 of 12;7 of 10;3 of 4;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;April 25, 2015;Montreal, Quebec, Canada;Welterweight Bout;Patrick Cote
John Makdessi;Shane Campbell;2;0;47 of 98;25 of 57;47%;43%;59 of 114;25 of 57;0 of 2;0 of 3;0%;0%;0;0;0;0;1:09;0:34;39 of 82;5 of 28;7 of 13;7 of 14;1 of 3;13 of 15;26 of 56;24 of 54;6 of 13;1 of 3;15 of 29;0 of 0;KO/TKO;1;4:53;3 Rnd (5-5-5);Philippe Chartier;April 25, 2015;Montreal, Quebec, Canada;Catch Weight Bout;John Makdessi
Michael Bisping;CB Dollaway;0;1;75 of 202;47 of 131;37%;35%;80 of 207;49 of 134;0 of 0;2 of 8;---;25%;0;0;0;0;0:23;1:15;56 of 176;36 of 115;4 of 8;4 of 8;15 of 18;7 of 8;69 of 193;40 of 114;1 of 1;1 of 3;5 of 8;6 of 14;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jerin Valel;April 25, 2015;Montreal, Quebec, Canada;Middleweight Bout;Michael Bisping
Yves Jabouin;Thomas Almeida;0;0;20 of 56;31 of 75;35%;41%;20 of 56;32 of 76;1 of 1;0 of 0;100%;---;0;0;0;0;0:23;0:00;12 of 43;18 of 58;8 of 13;7 of 9;0 of 0;6 of 8;18 of 53;24 of 62;2 of 3;7 of 13;0 of 0;0 of 0;KO/TKO;1;4:18;3 Rnd (5-5-5);Yves Lavigne;April 25, 2015;Montreal, Quebec, Canada;Bantamweight Bout;Thomas Almeida
Quinton Jackson;Fabio Maldonado;0;0;99 of 211;67 of 134;46%;50%;114 of 230;94 of 162;0 of 0;1 of 1;---;100%;0;0;0;0;1:11;2:52;59 of 160;37 of 87;31 of 41;29 of 45;9 of 10;1 of 2;67 of 155;55 of 113;32 of 56;12 of 21;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;April 25, 2015;Montreal, Quebec, Canada;Catch Weight Bout;Quinton Jackson
Chad Laprise;Bryan Barberena;0;0;84 of 172;94 of 202;48%;46%;84 of 172;99 of 207;0 of 1;1 of 3;0%;33%;0;0;0;0;0:10;0:34;52 of 132;36 of 122;21 of 29;21 of 34;11 of 11;37 of 46;78 of 163;72 of 173;6 of 9;22 of 27;0 of 0;0 of 2;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Philippe Chartier;April 25, 2015;Montreal, Quebec, Canada;Lightweight Bout;Chad Laprise
Alexis Davis;Sarah Kaufman;0;0;34 of 99;65 of 130;34%;50%;40 of 106;76 of 141;1 of 3;0 of 0;33%;---;1;0;0;0;0:51;1:27;18 of 77;37 of 90;7 of 11;8 of 12;9 of 11;20 of 28;29 of 91;47 of 111;5 of 8;11 of 12;0 of 0;7 of 7;Submission;2;3:07;3 Rnd (5-5-5);Jerin Valel;April 25, 2015;Montreal, Quebec, Canada;Women's Bantamweight Bout;Alexis Davis
Olivier Aubin-Mercier;David Michaud;1;0;49 of 86;17 of 52;56%;32%;82 of 127;22 of 57;3 of 15;0 of 0;20%;---;1;0;0;0;6:15;0:00;22 of 55;14 of 47;12 of 16;3 of 4;15 of 15;0 of 1;23 of 55;12 of 43;22 of 26;4 of 7;4 of 5;1 of 2;Submission;3;1:35;3 Rnd (5-5-5);Yves Lavigne;April 25, 2015;Montreal, Quebec, Canada;Lightweight Bout;Olivier Aubin-Mercier
Nordine Taleb;Chris Clements;0;0;36 of 64;17 of 62;56%;27%;64 of 97;29 of 75;6 of 6;0 of 0;100%;---;0;1;0;0;10:02;0:00;26 of 50;4 of 39;7 of 10;5 of 8;3 of 4;8 of 15;12 of 27;14 of 52;5 of 7;3 of 10;19 of 30;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;April 25, 2015;Montreal, Quebec, Canada;Welterweight Bout;Nordine Taleb
Jessica Rakoczy;Valerie Letourneau;0;0;46 of 107;38 of 124;42%;30%;60 of 125;50 of 136;1 of 5;2 of 2;20%;100%;1;2;1;1;6:18;0:55;26 of 78;17 of 93;17 of 24;10 of 14;3 of 5;11 of 17;29 of 84;27 of 101;11 of 14;10 of 22;6 of 9;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jerin Valel;April 25, 2015;Montreal, Quebec, Canada;Women's Strawweight Bout;Valerie Letourneau
Randa Markos;Aisling Daly;0;0;18 of 52;27 of 65;34%;41%;131 of 171;50 of 92;2 of 4;2 of 5;50%;40%;1;1;0;0;5:31;6:53;15 of 48;15 of 50;2 of 2;9 of 10;1 of 2;3 of 5;11 of 42;9 of 43;3 of 6;12 of 14;4 of 4;6 of 8;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Philippe Chartier;April 25, 2015;Montreal, Quebec, Canada;Women's Strawweight Bout;Randa Markos
Jim Miller;Beneil Dariush;0;0;11 of 27;27 of 54;40%;50%;24 of 43;55 of 86;0 of 0;2 of 4;---;50%;3;1;1;0;0:16;11:59;4 of 19;17 of 37;1 of 1;7 of 12;6 of 7;3 of 5;6 of 22;10 of 28;5 of 5;10 of 16;0 of 0;7 of 10;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Vitor Ribeiro;April 18, 2015;Newark, New Jersey, USA;Lightweight Bout;Beneil Dariush
Jacare Souza;Chris Camozzi;0;0;6 of 9;7 of 14;66%;50%;10 of 13;7 of 14;1 of 1;0 of 0;100%;---;1;0;0;0;1:30;0:00;2 of 4;2 of 8;4 of 5;0 of 1;0 of 0;5 of 5;5 of 8;7 of 14;0 of 0;0 of 0;1 of 1;0 of 0;Submission;1;2:33;3 Rnd (5-5-5);Dan Miragliotta;April 18, 2015;Newark, New Jersey, USA;Middleweight Bout;Jacare Souza
Ovince Saint Preux;Patrick Cummins;1;0;18 of 41;14 of 23;43%;60%;18 of 41;15 of 27;0 of 1;1 of 3;0%;33%;0;0;0;0;0:04;0:47;13 of 33;8 of 17;5 of 8;1 of 1;0 of 0;5 of 5;11 of 32;5 of 14;0 of 2;5 of 5;7 of 7;4 of 4;KO/TKO;1;4:54;3 Rnd (5-5-5);Dan Miragliotta;April 18, 2015;Newark, New Jersey, USA;Light Heavyweight Bout;Ovince Saint Preux
Takeya Mizugaki;Aljamain Sterling;0;0;13 of 42;32 of 54;30%;59%;19 of 49;60 of 84;0 of 1;3 of 15;0%;20%;0;1;0;0;0:31;7:37;6 of 30;8 of 28;6 of 10;12 of 12;1 of 2;12 of 14;7 of 34;13 of 32;6 of 8;19 of 22;0 of 0;0 of 0;Submission;3;2:11;3 Rnd (5-5-5);Gasper Oliver;April 18, 2015;Newark, New Jersey, USA;Bantamweight Bout;Aljamain Sterling
Lyoto Machida;Luke Rockhold;0;0;13 of 27;23 of 44;48%;52%;19 of 33;39 of 63;0 of 0;1 of 1;---;100%;0;2;0;0;1:25;3:10;7 of 20;14 of 34;0 of 1;4 of 4;6 of 6;5 of 6;12 of 25;11 of 23;0 of 0;1 of 1;1 of 2;11 of 20;Submission;2;2:31;5 Rnd (5-5-5-5-5);Keith Peterson;April 18, 2015;Newark, New Jersey, USA;Middleweight Bout;Luke Rockhold
Cub Swanson;Max Holloway;0;0;56 of 136;82 of 198;41%;41%;58 of 138;86 of 202;0 of 3;0 of 0;0%;---;0;3;0;0;0:07;1:29;29 of 98;51 of 163;10 of 15;24 of 28;17 of 23;7 of 7;54 of 133;73 of 185;2 of 2;4 of 5;0 of 1;5 of 8;Submission;3;3:58;3 Rnd (5-5-5);Gasper Oliver;April 18, 2015;Newark, New Jersey, USA;Featherweight Bout;Max Holloway
Corey Anderson;Gian Villante;0;0;111 of 279;70 of 168;39%;41%;113 of 281;70 of 168;0 of 4;0 of 0;0%;---;0;0;0;0;0:00;0:00;97 of 256;37 of 129;11 of 20;3 of 5;3 of 3;30 of 34;108 of 270;69 of 163;3 of 9;1 of 5;0 of 0;0 of 0;KO/TKO;3;4:18;3 Rnd (5-5-5);Liam Kerrigan;April 18, 2015;Newark, New Jersey, USA;Light Heavyweight Bout;Gian Villante
Felice Herrig;Paige VanZant;0;0;28 of 47;67 of 92;59%;72%;44 of 67;199 of 241;0 of 4;2 of 5;0%;40%;1;0;1;2;2:43;10:33;12 of 24;45 of 67;14 of 20;14 of 17;2 of 3;8 of 8;8 of 20;8 of 15;18 of 24;22 of 27;2 of 3;37 of 50;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Vitor Ribeiro;April 18, 2015;Newark, New Jersey, USA;Women's Strawweight Bout;Paige VanZant
Eddie Gordon;Chris Dempsey;0;0;37 of 140;44 of 138;26%;31%;48 of 154;65 of 162;3 of 3;3 of 12;100%;25%;0;0;0;0;4:09;3:17;36 of 139;37 of 130;1 of 1;6 of 6;0 of 0;1 of 2;35 of 134;33 of 124;2 of 6;6 of 8;0 of 0;5 of 6;Decision - Split;3;5:00;3 Rnd (5-5-5);Liam Kerrigan;April 18, 2015;Newark, New Jersey, USA;Middleweight Bout;Chris Dempsey
George Sullivan;Tim Means;0;1;39 of 164;48 of 130;23%;36%;43 of 169;69 of 151;0 of 5;2 of 2;0%;100%;0;1;0;0;0:27;3:46;27 of 134;28 of 89;9 of 25;12 of 32;3 of 5;8 of 9;34 of 153;30 of 100;5 of 11;9 of 14;0 of 0;9 of 16;Submission;3;3:41;3 Rnd (5-5-5);Keith Peterson;April 18, 2015;Newark, New Jersey, USA;Welterweight Bout;Tim Means
Diego Brandao;Jimy Hettes;0;0;12 of 24;11 of 18;50%;61%;25 of 39;17 of 24;2 of 3;1 of 3;66%;33%;0;0;0;1;2:25;0:59;8 of 17;5 of 11;3 of 4;6 of 7;1 of 3;0 of 0;2 of 9;4 of 7;6 of 6;7 of 11;4 of 9;0 of 0;TKO - Doctor's Stoppage;1;5:00;3 Rnd (5-5-5);Dan Miragliotta;April 18, 2015;Newark, New Jersey, USA;Featherweight Bout;Diego Brandao
Joanne Calderwood;Maryna Moroz;0;0;11 of 24;12 of 32;45%;37%;13 of 26;12 of 32;0 of 0;0 of 0;---;---;0;1;0;0;0:16;0:11;3 of 12;11 of 30;2 of 4;1 of 2;6 of 8;0 of 0;10 of 22;12 of 32;1 of 2;0 of 0;0 of 0;0 of 0;Submission;1;1:30;3 Rnd (5-5-5);Lukasz Bosacki;April 11, 2015;Krakow, Poland;Women's Strawweight Bout;Maryna Moroz
Jimi Manuwa;Jan Blachowicz;0;0;43 of 86;44 of 106;50%;41%;81 of 130;58 of 120;0 of 2;0 of 3;0%;0%;0;0;0;0;5:43;0:29;15 of 46;25 of 77;16 of 25;17 of 26;12 of 15;2 of 3;30 of 69;33 of 90;13 of 17;11 of 16;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;April 11, 2015;Krakow, Poland;Light Heavyweight Bout;Jimi Manuwa
